number,appearances,baseline_rate,repeat_after_1_tests,repeat_after_1_hits,repeat_after_1_rate,repeat_after_2_tests,repeat_after_2_hits,repeat_after_2_rate,repeat_after_3_tests,repeat_after_3_hits,repeat_after_3_rate,repeat_after_5_tests,repeat_after_5_hits,repeat_after_5_rate,repeat_after_10_tests,repeat_after_10_hits,repeat_after_10_rate,repeat_after_1_vs_baseline
12,375,13.889,375,60,16.0,375,64,17.067,375,55,14.667,375,49,13.067,375,47,12.533,2.111
26,354,13.889,354,56,15.819,354,42,11.864,354,46,12.994,354,51,14.407,354,47,13.277,1.93
7,372,13.889,372,58,15.591,372,53,14.247,371,51,13.747,370,53,14.324,370,44,11.892,1.702
16,361,13.889,361,56,15.512,360,57,15.833,360,50,13.889,360,44,12.222,359,47,13.092,1.623
22,375,13.889,375,58,15.467,375,56,14.933,375,49,13.067,375,56,14.933,375,53,14.133,1.578
28,374,13.889,374,56,14.973,373,58,15.55,373,58,15.55,373,46,12.332,371,55,14.825,1.084
34,361,13.889,361,54,14.958,361,44,12.188,361,50,13.85,361,47,13.019,360,51,14.167,1.069
19,340,13.889,340,50,14.706,340,44,12.941,340,42,12.353,340,44,12.941,340,48,14.118,0.817
10,416,13.889,416,61,14.663,416,64,15.385,416,68,16.346,416,68,16.346,415,75,18.072,0.774
4,383,13.889,382,56,14.66,382,57,14.921,382,55,14.398,381,56,14.698,380,63,16.579,0.771
31,363,13.889,362,53,14.641,362,44,12.155,362,47,12.983,362,48,13.26,361,49,13.573,0.752
17,344,13.889,344,50,14.535,343,41,11.953,342,51,14.912,342,44,12.865,342,38,11.111,0.646
14,387,13.889,387,56,14.47,387,58,14.987,386,46,11.917,386,69,17.876,385,56,14.545,0.581
5,375,13.889,375,54,14.4,375,53,14.133,375,47,12.533,375,53,14.133,375,53,14.133,0.511
35,370,13.889,370,53,14.324,370,54,14.595,370,51,13.784,370,43,11.622,370,54,14.595,0.435
6,398,13.889,398,57,14.322,398,54,13.568,398,62,15.578,397,57,14.358,397,66,16.625,0.433
27,386,13.889,386,55,14.249,386,55,14.249,386,56,14.508,385,63,16.364,385,56,14.545,0.36
36,372,13.889,372,53,14.247,371,46,12.399,371,51,13.747,371,59,15.903,370,50,13.514,0.358
23,365,13.889,365,52,14.247,365,60,16.438,365,56,15.342,365,45,12.329,365,42,11.507,0.358
11,368,13.889,368,52,14.13,368,49,13.315,368,47,12.772,368,60,16.304,368,55,14.946,0.241
25,396,13.889,396,55,13.889,395,57,14.43,395,62,15.696,394,61,15.482,391,53,13.555,0.0
30,362,13.889,361,50,13.85,361,40,11.08,361,41,11.357,360,43,11.944,359,52,14.485,-0.039
32,362,13.889,362,50,13.812,362,47,12.983,362,58,16.022,362,45,12.431,362,47,12.983,-0.077
29,361,13.889,360,49,13.611,360,42,11.667,360,49,13.611,360,51,14.167,360,55,15.278,-0.278
18,351,13.889,351,47,13.39,351,46,13.105,351,49,13.96,350,52,14.857,350,49,14.0,-0.499
15,370,13.889,370,49,13.243,370,43,11.622,370,55,14.865,370,50,13.514,370,55,14.865,-0.646
1,383,13.889,383,50,13.055,383,56,14.621,382,53,13.874,382,62,16.23,381,48,12.598,-0.834
13,360,13.889,360,45,12.5,360,49,13.611,360,55,15.278,359,39,10.864,358,43,12.011,-1.389
24,357,13.889,357,44,12.325,357,53,14.846,356,50,14.045,356,47,13.202,356,54,15.169,-1.564
9,388,13.889,387,47,12.145,387,51,13.178,387,47,12.145,387,63,16.279,386,48,12.435,-1.744
20,363,13.889,363,44,12.121,363,43,11.846,363,43,11.846,363,50,13.774,361,51,14.127,-1.768
2,380,13.889,380,46,12.105,380,65,17.105,380,43,11.316,379,46,12.137,377,62,16.446,-1.784
8,375,13.889,375,45,12.0,375,60,16.0,375,48,12.8,374,57,15.241,372,55,14.785,-1.889
33,372,13.889,372,44,11.828,372,58,15.591,372,41,11.022,372,40,10.753,372,58,15.591,-2.061
3,351,13.889,351,38,10.826,351,45,12.821,351,41,11.681,351,49,13.96,349,34,9.742,-3.063
21,370,13.889,370,37,10.0,370,51,13.784,370,58,15.676,370,44,11.892,369,41,11.111,-3.889
